source;source_br;type;used_sources;trusted_sources
Specific journalists;Specific<br>journalists;OFF-LINE;15.86;27.56
Blogs;Blogs;ON-LINE;22.24;17.51
Institutional websites;Institutional<br>websites;ON-LINE;22.57;18.68
Periodicals;Periodicals;OFF-LINE;26.12;32.17
Web search engines;Web search<br>engines;ON-LINE;30.53;21.65
Word of mouth;Word of<br>mouth;OFF-LINE;37.1;23.42
Newspapers;Newspapers;OFF-LINE;40.72;42.24
Radio;Radio;OFF-LINE;40.92;40.66
Information websites;Information<br>websites;ON-LINE;50.72;33.88
Social media;Social<br>media;ON-LINE;54.40;24.02
Television;Television;OFF-LINE;59.73;50.13
Parties websites;Parties<br>websites;ON-LINE;14.04;13.80
